invoice,group_itemDescription
1000_032015,"{'meats', 'grains', 'milk', 'dairy'}"
1000_052015,"{'energy drinks', 'vegetables'}"
1000_062014,"{'grains', 'milk', 'other foods'}"
1000_072015,{'alcohol'}
1000_112015,"{'meats', 'cosmetics'}"
1001_012015,"{'meats', 'energy drinks', 'other foods'}"
1001_022015,"{'meats', 'dairy'}"
1001_042015,"{'grains', 'other item'}"
1001_072014,"{'meats', 'milk', 'other item'}"
1001_122014,"{'energy drinks', 'milk'}"
1002_042014,"{'dairy', 'milk'}"
1002_042015,"{'fruit', 'seasoning'}"
1002_082015,"{'milk', 'sugary'}"
1002_092014,{'vegetables'}
1003_012014,"{'meats', 'cosmetics'}"
1003_022014,{'other item'}
1003_102014,"{'vegetables', 'chemistry products'}"
1003_102015,"{'meats', 'other item'}"
1004_012014,"{'meats', 'alcohol', 'house facilities', 'bags'}"
1004_022015,"{'cosmetics', 'vegetables'}"
1004_042014,"{'fruit', 'milk'}"
1004_082014,"{'grains', 'vegetables', 'milk'}"
1004_102014,"{'vegetables', 'sugary', 'alcohol', 'other foods', 'other item', 'milk', 'bags'}"
1005_012014,{'other foods'}
1005_092014,{'other item'}
1006_052014,"{'chemistry products', 'water', 'other item'}"
1006_062015,"{'sugary', 'alcohol', 'other foods', 'other item', 'meats', 'milk'}"
1006_092014,"{'grains', 'milk'}"
1006_112014,"{'cosmetics', 'bags'}"
1008_032015,"{'meats', 'alcohol', 'sugary'}"
1008_072015,"{'energy drinks', 'vegetables', 'alcohol', 'other foods', 'dairy', 'fruit', 'others'}"
1009_012014,"{'meats', 'other drinks'}"
1009_052015,"{'dairy', 'fruit', 'others', 'seasoning'}"
1009_092015,"{'grains', 'seasoning'}"
1010_052014,"{'energy drinks', 'fruit', 'milk'}"
1010_072015,"{'fruit', 'others', 'other item'}"
1010_082014,"{'meats', 'water', 'sugary'}"
1010_102014,"{'dairy', 'others'}"
1011_022014,"{'grains', 'water', 'sugary', 'other item', 'dairy', 'fruit'}"
1011_092015,"{'vegetables', 'seasoning', 'others', 'meats', 'dairy', 'fruit', 'milk'}"
1012_032015,"{'meats', 'dairy', 'milk'}"
1012_062014,"{'vegetables', 'grains'}"
1012_112015,"{'bags', 'fruit', 'vegetables', 'other item'}"
1013_012014,"{'dairy', 'others', 'water'}"
1013_022014,"{'milk', 'sugary'}"
1013_022015,"{'grains', 'other foods', 'other item', 'meats', 'milk'}"
1013_032014,"{'fruit', 'vegetables', 'seasoning', 'other foods'}"
1013_072014,"{'vegetables', 'seasoning'}"
1013_122014,"{'vegetables', 'seasoning'}"
1014_032015,"{'meats', 'dairy', 'alcohol', 'milk'}"
1014_042014,"{'meats', 'milk'}"
1014_042015,"{'alcohol', 'house facilities'}"
1014_062014,"{'milk', 'other item'}"
1015_032015,"{'other item', 'other foods'}"
1015_042015,"{'fruit', 'milk'}"
1015_062014,"{'juice', 'sugary', 'other item'}"
1016_042015,"{'dairy', 'fruit'}"
1016_052015,"{'alcohol', 'milk'}"
1016_072015,"{'meats', 'alcohol'}"
1016_092015,"{'meats', 'fruit', 'seasoning', 'other item'}"
1017_022014,{'vegetables'}
1017_052015,"{'vegetables', 'other item'}"
1017_062014,"{'dairy', 'other item'}"
