invoice,itemDescription
1000_032015,"{'whole milk', 'semi-finished bread', 'yogurt', 'sausage'}"
1000_052015,"{'soda', 'pickled vegetables'}"
1000_062014,"{'salty snack', 'pastry', 'whole milk'}"
1000_072015,"{'canned beer', 'misc. beverages'}"
1000_112015,"{'hygiene articles', 'sausage'}"
1001_012015,"{'frankfurter', 'whipped/sour cream', 'soda'}"
1001_022015,"{'frankfurter', 'curd'}"
1001_042015,"{'white bread', 'beef'}"
1001_072014,"{'whole milk', 'rolls/buns', 'sausage'}"
1001_122014,"{'soda', 'whole milk'}"
1002_042014,"{'butter', 'whole milk'}"
1002_042015,"{'tropical fruit', 'sugar'}"
1002_082015,"{'butter milk', 'specialty chocolate'}"
1002_092014,"{'other vegetables', 'frozen vegetables'}"
1003_012014,"{'dental care', 'frozen meals'}"
1003_022014,{'rolls/buns'}
1003_102014,"{'detergent', 'root vegetables'}"
1003_102015,"{'rolls/buns', 'sausage'}"
1004_012014,"{'cling film/bags', 'canned beer', 'dish cleaner', 'frozen fish'}"
1004_022015,"{'hygiene articles', 'other vegetables'}"
1004_042014,"{'tropical fruit', 'pip fruit', 'whole milk'}"
1004_082014,"{'whole milk', 'pastry', 'root vegetables'}"
1004_102014,"{'packaged fruit/vegetables', 'shopping bags', 'red/blush wine', 'whole milk', 'rolls/buns', 'chocolate', 'other vegetables'}"
1005_012014,"{'whipped/sour cream', 'margarine'}"
1005_092014,{'rolls/buns'}
1006_052014,"{'bottled water', 'softener', 'rolls/buns'}"
1006_062015,"{'frankfurter', 'bottled beer', 'flour', 'chicken', 'whole milk', 'rolls/buns', 'chocolate'}"
1006_092014,"{'rice', 'whole milk'}"
1006_112014,"{'shopping bags', 'skin care'}"
1008_032015,"{'liquor (appetizer)', 'dessert', 'liver loaf', 'hamburger meat'}"
1008_072015,"{'soda', 'yogurt', 'photo/film', 'root vegetables', 'domestic eggs', 'white wine', 'tropical fruit'}"
1009_012014,"{'cocoa drinks', 'canned fish'}"
1009_052015,"{'herbs', 'yogurt', 'tropical fruit', 'newspapers'}"
1009_092015,"{'pastry', 'ketchup'}"
1010_052014,"{'coffee', 'pip fruit', 'UHT-milk'}"
1010_072015,"{'rolls/buns', 'pip fruit', 'candles'}"
1010_082014,"{'frankfurter', 'bottled water', 'specialty bar'}"
1010_102014,"{'kitchen towels', 'sliced cheese'}"
1011_022014,"{'curd cheese', 'pastry', 'citrus fruit', 'rolls/buns', 'bottled water', 'candy'}"
1011_092015,"{'frankfurter', 'herbs', 'yogurt', 'grapes', 'candles', 'whole milk', 'other vegetables'}"
1012_032015,"{'frankfurter', 'processed cheese', 'yogurt', 'whole milk'}"
1012_062014,"{'brown bread', 'frozen vegetables'}"
1012_112015,"{'onions', 'shopping bags', 'root vegetables', 'rolls/buns', 'tropical fruit'}"
1013_012014,"{'bottled water', 'hard cheese', 'napkins'}"
1013_022014,"{'candy', 'whole milk'}"
1013_022015,"{'frozen meals', 'roll products ', 'whole milk', 'white bread', 'domestic eggs', 'meat'}"
1013_032014,"{'whipped/sour cream', 'mustard', 'frozen vegetables', 'tropical fruit'}"
1013_072014,"{'mustard', 'other vegetables'}"
1013_122014,"{'mayonnaise', 'root vegetables'}"
1014_032015,"{'bottled beer', 'sausage', 'yogurt', 'whole milk'}"
1014_042014,"{'butter milk', 'hamburger meat'}"
1014_042015,"{'canned beer', 'cookware'}"
1014_062014,"{'rolls/buns', 'whole milk'}"
1015_032015,"{'salty snack', 'beef'}"
1015_042015,"{'citrus fruit', 'whole milk'}"
1015_062014,"{'fruit/vegetable juice', 'chocolate', 'rolls/buns'}"
1016_042015,"{'pip fruit', 'soft cheese'}"
1016_052015,"{'bottled beer', 'UHT-milk'}"
1016_072015,"{'chicken', 'red/blush wine'}"
1016_092015,"{'frankfurter', 'oil', 'mayonnaise', 'pip fruit', 'rolls/buns'}"
1017_022014,"{'other vegetables', 'root vegetables'}"
1017_052015,"{'other vegetables', 'rolls/buns'}"
1017_062014,"{'yogurt', 'beef'}"
1017_092015,"{'soda', 'shopping bags', 'dessert'}"
1017_102014,"{'brown bread', 'pet care'}"
1018_012014,"{'curd', 'long life bakery product'}"
1018_042014,"{'domestic eggs', 'beverages'}"
1018_052014,"{'cake bar', 'berries'}"
1018_052015,"{'butter milk', 'root vegetables'}"
1019_102014,"{'red/blush wine', 'hamburger meat'}"
